Tag,Class,Description,Category,Keywords
Financial Systems,Skill,Implement business rules in financial systems to ensure compliance with applicable regulations.,Financial Systems,"ARES Corporation PRISM Project Estimator, Credit management software, Delphi Technology, Oracle E-Business Suite Financials, Financial Systems"
Financial Trading,Skill,"Prepare procedures for the preparation, writing, and filing of all corporate quarterly and annual U.S. Securities and Exchange Commission (SEC) filings, including Forms 10-Q, 10-K, and the annual report.",Financial Trading,"Financial Trading, Financial Reporting, Financial Transactions"
Financial Transactions,Skill,"Record financial transactions, including purchases, sales, receipts, and payments by an individual or an organization/corporation.",Financial Transactions,"Finance, Financial Transactions"
Fine Motor Skills,Skill,Turn fingers to set a dial to a specified setting.,Fine Motor Skills,"Fine Motor Skills, computer, Hand tools, pen, pencil, office equipment, production equipment"
Fingerprint Identification And Classification,Skill,Identify common ridge patterns between an unknown fingerprint and known fingerprints.,Fingerprint Identification And Classification,Fingerprint Identification And Classification
Fingerprint Recognition,Skill,Take physical fingerprints.,Fingerprint Recognition,"Fingerprint Recognition, Fingerprinting"
Firewall,Skill,Monitor a firewall on a network device for security incidents.,Firewall,"security, Firewall, Network Device"
First Aid,Skill,Use the chain-of-survival approach when providing first aid to a cardiac arrest victim.,First Aid,"Medical Assistant, First Aid"
Fiscal Policies,Skill,Assess organizational costs based on fiscal policies.,Fiscal Policies,"Taxes, Legislation, standards, guidelines, procedures, regulation, Fiscal Policies, Programs, Grants, Subsidies, Expenditures"
Fixed Asset,Skill,Ensure compliance with internal control policies and procedures.,Fixed Asset,"Microsoft Excel, Oracle, Fixed Asset, Sage Intacct"
Flow Control,Skill,Run processes in a pre-defined order.,Flow Control,Cybersecurity
Flowcharts,Skill,Analyze the logic required for coding a task.,Flowcharts,"code logic, diagraming, task decomposition"
Food Services,Skill,Make food substitutions and modifications for individuals with special dietary needs.,Food Services,Food Services
Forecasting,Skill,Monitor trends and innovations in a given industry.,Forecasting,"SAP, Forecasting, Enterprise Resource Planning software, Microsoft Dynamics, Oracle E-Business Suite, Oracle JD Edwards EnterpriseOne, Data Mining software (Google Analytics)"
Forensic Biology,Skill,Amplify recovered biological samples for examination.,Forensic Biology,Forensic Biology
Forensic Identification,Skill,Determine whether evidence contains sufficient material for identification to a known sample.,Forensic Identification,Forensic Identification
Forensic Photography,Skill,Record the appearance of overall evidentiary items during forensic examinations through photographs.,Forensic Photography,Forensic Photography
Forensic Sciences,Skill,Research methods for testing evidence.,Forensic Sciences,Forensic Sciences
Forensic Toolkits,Skill,Maintain Forensic Toolkit (FTK) in an organization.,Forensic Toolkits,"Forensic Toolkits, Forensic Toolkits (FTK)"
Forensic Toxicology,Skill,Detect the presence of drugs through forensic testing.,Forensic Toxicology,Forensic Toxicology
Formal Analysis,Skill,Articulate research questions as hypotheses that can be tested.,Formal Analysis,"21st Century Skills, Doing, Data Analysis, GE Framework, Problem Solving, Decision Making, Troubleshooting (Problem Solving), Mathematics, Spreadsheets, Analytical Skills, Deductive Reasoning, Application Development, Computer Science, Apple IOS, Android (Operating System), Investigation, Formal Analysis, Logical Reasoning, Scientific Reasoning, Complex Problem Solving"
Formative and Summative Assessments,Skill,Use summative assessment data to provide additional or accelerated support to learners.,Formative and Summative Assessments,"InTASC, Formative and Summative Assessments"
Fraud Prevention And Detection,Skill,Conduct a risk assessment to identify potentially fraudulent activities.,Fraud Prevention And Detection,Fraud Prevention And Detection
Front End (Software Engineering),Skill,Incorporate accessibility options within website designs.,Front End (Software Engineering),"usability, UX"
Full Motion Video (FMV) Exploitation,Skill,Identify the source of full motion video (FMV) evidence at crime scenes.,Full Motion Video (FMV) Exploitation,Full Motion Video (FMV) Exploitation
Full Stack Software Engineering,Skill,Recommend tools and services for a full stack software engineering solution.,Full Stack Software Engineering,Full Stack Software Engineering
Functional Requirement,Skill,Determine which product features will be included in a functional requirement.,Functional Requirement,"Functional Requirement, Product Feature"
Functional Specifications,Skill,Implement a software engineering solution based on functional specifications.,Functional Specifications,Functional Specifications
Fund Accounting,Skill,Review the prospectus and accounting statements for an investment fund.,Fund Accounting,"Delphi Technology, Oracle E-Business Suite Financials, Spreadware Business Financial Analysis, TechHackers, Fund Accounting"
Fundraising,Skill,Create documentation for potential donors that details an organization's tax exempt status.,Fundraising,"Microsoft Excel, Microsoft Word, Google Docs, Google Sheets, Taxes, Fundraising"
General Data Protection Regulation (GDPR),Skill,Determine when General Data Protection Regulation (GDPR) compliance is required in an organization.,General Data Protection Regulation (GDPR),"General Data Protection Regulation (GDPR), GDPR: The Big Picture"
General Fund Enterprise Business Systems (GFEBS),Skill,Implement a new instance of the General Fund Enterprise Business Systems (GFEBS) Enterprise Resource Planning (ERP) solution to support the Army's current and future missions.,General Fund Enterprise Business Systems (GFEBS),General Fund Enterprise Business Systems (GFEBS)
General Ledger,Skill,"Compare the general ledger (GL) account balances with other independent systems, statements, and reports to verify the balances are correct and accurate.",General Ledger,"General Ledger, General Ledger Accounting, General Ledger Reconciliation"
General Ledger (GL) Accounting,Skill,Represent a company's financial data with debit and credit account records validated by a trial balance by using a formal record-keeping system.,General Ledger (GL) Accounting,"Financial Data, Accounting, Finance, General Ledger, data, General Ledger (GL) Accounting"
Generally Accepted Accounting Principles,Skill,Determine the impact of the differences between the International Financial Reporting Standards (IFRS) and U.S. Generally Accepted Accounting Principles (GAAP) on the financial statements.,Generally Accepted Accounting Principles,"Generally Accepted Accounting Principles, Generally Accepted Accounting Principles (GAAP), Accounting Standards Codification (ASC)"
Geotechnical Engineering,Skill,Conduct subsurface exploration using in situ testing.,Geotechnical Engineering,Geotechnical Engineering
Geriatrics,Skill,Teach older adults about the physiological changes that occur with aging.,Geriatrics,"Medical Assistant, Geriatrics"
Global and Cultural Effectiveness,Skill,Conduct business with an understanding of and respect for cross-cultural differences in customs and acceptable behaviors.,Global and Cultural Effectiveness,"Diversity, culture, Human Resources, HR, SHRM, interpersonal, Global and Cultural Effectiveness, Global & Cultural Effectiveness, Global Effectiveness, Cultural Effectiveness, Operating in a Diverse Workplace"
Goal Oriented,Skill,"Articulate value-based personal milestones, fixed timelines, and action steps for goal achievement.",Goal Oriented,"Goal Oriented, Goal Setting"
Goal Setting,Skill,Use one's personal attributes to help focus career goals.,Goal Setting,Goal Setting
Google Cloud,Skill,Secure sensitive data on Google Cloud.,Google Cloud,"Google Cloud, Managing Security in Google Cloud Platform, Google Cloud Armor, Safe Browsing, Cloud KMS, Cloud HSM, Google Cloud Security"
Governance,Skill,Implement governance workflows and tools.,Governance,"Governance, ServiceNow"
Governmental Accounting,Skill,Calculate the amount to be reported as other financing sources and other financing uses in the governmental funds financial statements.,Governmental Accounting,Governmental Accounting
Grant Writing,Skill,Select appropriate and relevant grants.,Grant Writing,Grant Writing
